region,site,land_use,soil_order,time_step,soil_indicator,trace_element,value,target_year,target_min,target_max,measure_units,meets_target_min,meets_target_max,within_target_range
Auckland,64250003,Drystock,Recent,1996 - 1999,AMN,FALSE,149.8367503,2017,50,NA,µg/g,TRUE,NA,NA
Auckland,64250003,Drystock,Recent,1996 - 1999,Bulk_density,FALSE,0.923666667,2017,0.7,1.4,Mg/m3,TRUE,TRUE,TRUE
Auckland,64250003,Drystock,Recent,1996 - 1999,Macroporosity_m10,FALSE,12.73666667,2017,10,30,"-10 kPa, %vol/vol",TRUE,TRUE,TRUE
Auckland,64250003,Drystock,Recent,1996 - 1999,OlsenP,FALSE,35.43720396,2017,15,45,µg/g,TRUE,TRUE,TRUE
Auckland,64250003,Drystock,Recent,1996 - 1999,pH,FALSE,5.67,2017,5,6.6,-log10(H+),TRUE,TRUE,TRUE
Auckland,64250003,Drystock,Recent,1996 - 1999,TotalC,FALSE,6.525759017,2017,2,NA,%C gravimetric,TRUE,NA,NA
Auckland,64250003,Drystock,Recent,1996 - 1999,TotalN,FALSE,0.601009959,2017,0.25,0.7,%N gravimetric,TRUE,TRUE,TRUE
Auckland,64250005,Dairy,Recent,1996 - 1999,AMN,FALSE,154.0695589,2017,50,NA,µg/g,TRUE,NA,NA
Auckland,64250005,Dairy,Recent,1996 - 1999,Bulk_density,FALSE,0.906,2017,0.7,1.4,Mg/m3,TRUE,TRUE,TRUE
Auckland,64250005,Dairy,Recent,1996 - 1999,Macroporosity_m10,FALSE,13.83,2017,10,30,"-10 kPa, %vol/vol",TRUE,TRUE,TRUE
Auckland,64250005,Dairy,Recent,1996 - 1999,OlsenP,FALSE,23.33815443,2017,15,45,µg/g,TRUE,TRUE,TRUE
Auckland,64250005,Dairy,Recent,1996 - 1999,pH,FALSE,5.85,2017,5,6.6,-log10(H+),TRUE,TRUE,TRUE
Auckland,64250005,Dairy,Recent,1996 - 1999,TotalC,FALSE,5.435113204,2017,2,NA,%C gravimetric,TRUE,NA,NA
Auckland,64250005,Dairy,Recent,1996 - 1999,TotalN,FALSE,0.513502134,2017,0.25,0.7,%N gravimetric,TRUE,TRUE,TRUE
Auckland,64260001,Dairy,Organic,1996 - 1999,AMN,FALSE,206,2017,50,NA,µg/g,TRUE,NA,NA
Auckland,64260001,Dairy,Organic,1996 - 1999,Bulk_density,FALSE,0.75,2017,0.2,1,Mg/m3,TRUE,TRUE,TRUE
Auckland,64260001,Dairy,Organic,1996 - 1999,Macroporosity_m10,FALSE,5.26,2017,10,30,"-10 kPa, %vol/vol",FALSE,TRUE,FALSE
Auckland,64260001,Dairy,Organic,1996 - 1999,OlsenP,FALSE,39.68893557,2017,20,40,µg/g,TRUE,TRUE,TRUE
Auckland,64260001,Dairy,Organic,1996 - 1999,pH,FALSE,5.93,2017,4.5,7,-log10(H+),TRUE,TRUE,TRUE
Auckland,64260001,Dairy,Organic,1996 - 1999,TotalC,FALSE,11.56714559,2017,NA,NA,%C gravimetric,NA,NA,NA
Auckland,64260001,Dairy,Organic,1996 - 1999,TotalN,FALSE,0.871035407,2017,0.25,0.7,%N gravimetric,TRUE,FALSE,FALSE
Auckland,64260003,Dairy,Organic,1996 - 1999,AMN,FALSE,245,2017,50,NA,µg/g,TRUE,NA,NA
Auckland,64260003,Dairy,Organic,1996 - 1999,Bulk_density,FALSE,0.62,2017,0.2,1,Mg/m3,TRUE,TRUE,TRUE
Auckland,64260003,Dairy,Organic,1996 - 1999,Macroporosity_m10,FALSE,6.08,2017,10,30,"-10 kPa, %vol/vol",FALSE,TRUE,FALSE
Auckland,64260003,Dairy,Organic,1996 - 1999,OlsenP,FALSE,33,2017,20,40,µg/g,TRUE,TRUE,TRUE
Auckland,64260003,Dairy,Organic,1996 - 1999,pH,FALSE,6.07,2017,4.5,7,-log10(H+),TRUE,TRUE,TRUE
Auckland,64260003,Dairy,Organic,1996 - 1999,TotalC,FALSE,13.24,2017,NA,NA,%C gravimetric,NA,NA,NA
Auckland,64260003,Dairy,Organic,1996 - 1999,TotalN,FALSE,1.09,2017,0.25,0.7,%N gravimetric,TRUE,FALSE,FALSE
Auckland,64280001,Drystock,Allophanic,1996 - 1999,AMN,FALSE,162.1052632,2017,50,NA,µg/g,TRUE,NA,NA
Auckland,64280001,Drystock,Allophanic,1996 - 1999,Bulk_density,FALSE,0.9538,2017,0.5,1.3,Mg/m3,TRUE,TRUE,TRUE
Auckland,64280001,Drystock,Allophanic,1996 - 1999,Macroporosity_m10,FALSE,15.68,2017,10,30,"-10 kPa, %vol/vol",TRUE,TRUE,TRUE
Auckland,64280001,Drystock,Allophanic,1996 - 1999,OlsenP,FALSE,45.5700701,2017,20,50,µg/g,TRUE,TRUE,TRUE
Auckland,64280001,Drystock,Allophanic,1996 - 1999,pH,FALSE,6.194,2017,5,6.6,-log10(H+),TRUE,TRUE,TRUE
Auckland,64280001,Drystock,Allophanic,1996 - 1999,TotalC,FALSE,7.110333045,2017,3,NA,%C gravimetric,TRUE,NA,NA
Auckland,64280001,Drystock,Allophanic,1996 - 1999,TotalN,FALSE,0.644424522,2017,0.25,0.7,%N gravimetric,TRUE,TRUE,TRUE
Auckland,64340003,Drystock,Ultic,1996 - 1999,AMN,FALSE,213.4635651,2017,50,NA,µg/g,TRUE,NA,NA
Auckland,64340003,Drystock,Ultic,1996 - 1999,Bulk_density,FALSE,0.639666667,2017,0.6,1.4,Mg/m3,TRUE,TRUE,TRUE
Auckland,64340003,Drystock,Ultic,1996 - 1999,Macroporosity_m10,FALSE,13.69666667,2017,10,30,"-10 kPa, %vol/vol",TRUE,TRUE,TRUE
Auckland,64340003,Drystock,Ultic,1996 - 1999,OlsenP,FALSE,13.9428857,2017,15,45,µg/g,FALSE,TRUE,FALSE
Auckland,64340003,Drystock,Ultic,1996 - 1999,pH,FALSE,5.64,2017,5,6.6,-log10(H+),TRUE,TRUE,TRUE
Auckland,64340003,Drystock,Ultic,1996 - 1999,TotalC,FALSE,8.536589776,2017,2.5,NA,%C gravimetric,TRUE,NA,NA
Auckland,64340003,Drystock,Ultic,1996 - 1999,TotalN,FALSE,0.769600885,2017,0.25,0.7,%N gravimetric,TRUE,FALSE,FALSE
Auckland,64340005,Dairy,Ultic,1996 - 1999,AMN,FALSE,185.0478883,2017,50,NA,µg/g,TRUE,NA,NA
Auckland,64340005,Dairy,Ultic,1996 - 1999,Bulk_density,FALSE,0.937666667,2017,0.6,1.4,Mg/m3,TRUE,TRUE,TRUE
Auckland,64340005,Dairy,Ultic,1996 - 1999,Macroporosity_m10,FALSE,13.43,2017,10,30,"-10 kPa, %vol/vol",TRUE,TRUE,TRUE
Auckland,64340005,Dairy,Ultic,1996 - 1999,OlsenP,FALSE,20.64428184,2017,15,45,µg/g,TRUE,TRUE,TRUE
Auckland,64340005,Dairy,Ultic,1996 - 1999,pH,FALSE,6.13,2017,5,6.6,-log10(H+),TRUE,TRUE,TRUE
Auckland,64340005,Dairy,Ultic,1996 - 1999,TotalC,FALSE,7.644901314,2017,2.5,NA,%C gravimetric,TRUE,NA,NA
Auckland,64340005,Dairy,Ultic,1996 - 1999,TotalN,FALSE,0.651177831,2017,0.25,0.7,%N gravimetric,TRUE,TRUE,TRUE
Auckland,64340007,Dairy,Ultic,1996 - 1999,AMN,FALSE,202.444263,2017,50,NA,µg/g,TRUE,NA,NA
Auckland,64340007,Dairy,Ultic,1996 - 1999,As,TRUE,2,NA,NA,NA,NA,NA,NA,NA
Auckland,64340007,Dairy,Ultic,1996 - 1999,Bulk_density,FALSE,0.842666667,2017,0.6,1.4,Mg/m3,TRUE,TRUE,TRUE
Auckland,64340007,Dairy,Ultic,1996 - 1999,Cd,TRUE,0.42,NA,NA,NA,NA,NA,NA,NA
Auckland,64340007,Dairy,Ultic,1996 - 1999,Cr,TRUE,4.8,NA,NA,NA,NA,NA,NA,NA
Auckland,64340007,Dairy,Ultic,1996 - 1999,Cu,TRUE,11,NA,NA,NA,NA,NA,NA,NA
Auckland,64340007,Dairy,Ultic,1996 - 1999,Macroporosity_m10,FALSE,14.63333333,2017,10,30,"-10 kPa, %vol/vol",TRUE,TRUE,TRUE
Auckland,64340007,Dairy,Ultic,1996 - 1999,Ni,TRUE,3,NA,NA,NA,NA,NA,NA,NA
Auckland,64340007,Dairy,Ultic,1996 - 1999,OlsenP,FALSE,16.62944396,2017,15,45,µg/g,TRUE,TRUE,TRUE
Auckland,64340007,Dairy,Ultic,1996 - 1999,Pb,TRUE,7.8,NA,NA,NA,NA,NA,NA,NA
Auckland,64340007,Dairy,Ultic,1996 - 1999,pH,FALSE,6.02,2017,5,6.6,-log10(H+),TRUE,TRUE,TRUE
Auckland,64340007,Dairy,Ultic,1996 - 1999,TotalC,FALSE,8.645205864,2017,2.5,NA,%C gravimetric,TRUE,NA,NA
Auckland,64340007,Dairy,Ultic,1996 - 1999,TotalN,FALSE,0.68233345,2017,0.25,0.7,%N gravimetric,TRUE,TRUE,TRUE
Auckland,64340007,Dairy,Ultic,1996 - 1999,Zn,TRUE,25,NA,NA,NA,NA,NA,NA,NA
Auckland,64340011,Drystock,Ultic,1996 - 1999,AMN,FALSE,351.4483522,2017,50,NA,µg/g,TRUE,NA,NA
Auckland,64340011,Drystock,Ultic,1996 - 1999,As,TRUE,2.2,NA,NA,NA,NA,NA,NA,NA
Auckland,64340011,Drystock,Ultic,1996 - 1999,Bulk_density,FALSE,0.617,2017,0.6,1.4,Mg/m3,TRUE,TRUE,TRUE
