,Wheat Tonnes,Wheat Hectares,September Total Rainfall (mm),October Total Rainfall (mm),November Total Rainfall (mm),December Total Rainfall (mm),January Total Rainfall (mm),February Total Rainfall (mm),March Total Rainfall (mm),April Total Rainfall (mm),May Total Rainfall (mm),June Total Rainfall (mm),July Total Rainfall (mm),August Total Rainfall (mm),September Wet Day - 1mm or more of Rain (day),October Wet Day - 1mm or more of Rain (day),November Wet Day - 1mm or more of Rain (day),December Wet Day - 1mm or more of Rain (day),January Wet Day - 1mm or more of Rain (day),February Wet Day - 1mm or more of Rain (day),March Wet Day - 1mm or more of Rain (day),April Wet Day - 1mm or more of Rain (day),May Wet Day - 1mm or more of Rain (day),June Wet Day - 1mm or more of Rain (day),July Wet Day - 1mm or more of Rain (day),August Wet Day - 1mm or more of Rain (day),September Mean Air Temperature (Celsius),October Mean Air Temperature (Celsius),November Mean Air Temperature (Celsius),December Mean Air Temperature (Celsius),January Mean Air Temperature (Celsius),February Mean Air Temperature (Celsius),March Mean Air Temperature (Celsius),April Mean Air Temperature (Celsius),May Mean Air Temperature (Celsius),June Mean Air Temperature (Celsius),July Mean Air Temperature (Celsius),August Mean Air Temperature (Celsius),September Total Sunshine (hrs),October Total Sunshine (hrs),November Total Sunshine (hrs),December Total Sunshine (hrs),January Total Sunshine (hrs),February Total Sunshine (hrs),March Total Sunshine (hrs),April Total Sunshine (hrs),May Total Sunshine (hrs),June Total Sunshine (hrs),July Total Sunshine (hrs),August Total Sunshine (hrs),September Mean Wind Speed (M/Sec),October Mean Wind Speed (M/Sec),November Mean Wind Speed (M/Sec),December Mean Wind Speed (M/Sec),January Mean Wind Speed (M/Sec),February Mean Wind Speed (M/Sec),March Mean Wind Speed (M/Sec),April Mean Wind Speed (M/Sec),May Mean Wind Speed (M/Sec),June Mean Wind Speed (M/Sec),July Mean Wind Speed (M/Sec),August Mean Wind Speed (M/Sec),AMN_value,Bulk_density_value,TotalC_value,TotalN_value
17,326300.0,36000.0,42.4,63.8,35.0,44.2,15.4,46.4,25.2,59.0,50.8,19.4,70.2,46.2,7.0,10.0,4.0,7.0,3.0,6.0,6.0,14.0,8.0,4.0,7.0,5.0,9.2,11.0,16.2,15.8,19.5,17.4,16.9,11.0,10.9,6.0,7.9,7.7,177.8,202.8,249.0,264.0,270.7,255.8,172.4,137.7,154.6,138.7,112.8,183.2,2.7,3.0,3.0,2.9,3.0,2.6,1.8,1.8,2.3,1.7,2.0,2.4,134.0,0.8,6.7,0.52
18,372000.0,36800.0,92.8,47.0,76.8,60.0,3.4,22.8,55.4,8.8,91.6,55.4,18.0,17.6,11.0,5.0,9.0,7.0,1.0,4.0,7.0,3.0,6.0,11.0,6.0,6.0,10.1,12.6,13.8,15.8,18.0,19.2,14.0,12.8,9.4,7.5,6.6,9.0,222.4,214.0,181.0,233.2,267.4,198.6,157.1,192.3,159.4,98.8,124.0,161.9,3.5,2.8,2.3,2.7,2.4,2.3,2.1,2.1,1.5,1.6,1.6,2.2,134.0,0.8,6.7,0.52
19,342000.0,34900.0,54.4,32.6,61.4,89.0,68.8,11.6,16.2,10.2,141.4,69.8,41.0,81.2,9.0,9.0,7.0,13.0,8.0,3.0,4.0,2.0,8.0,7.0,7.0,10.0,8.9,11.9,13.9,15.9,17.4,17.4,15.8,13.5,9.4,8.7,6.5,7.9,196.4,226.5,206.2,171.0,230.6,234.3,182.8,178.6,167.9,88.4,182.4,145.8,3.3,1.6,1.4,0.7,2.4,1.9,1.7,2.3,2.1,1.6,1.5,2.4,134.0,0.8,6.7,0.52
20,313400.0,33300.0,28.6,16.2,83.8,61.6,21.6,201.0,17.6,20.2,80.0,89.6,141.4,58.6,6.0,6.0,9.0,8.0,4.0,15.0,3.0,4.0,9.0,13.0,11.0,8.0,8.7,10.5,14.0,15.1,17.0,15.6,14.7,12.1,9.8,6.8,6.1,8.4,157.0,224.4,224.2,214.3,291.8,148.9,163.2,172.8,160.4,115.8,101.0,141.7,2.2,2.8,2.4,1.7,1.3,0.7,1.2,1.6,1.7,2.2,1.9,2.1,134.0,0.8,6.7,0.52
21,308300.0,31300.0,81.6,62.6,38.2,32.6,89.8,67.6,70.8,36.2,20.0,40.2,92.2,31.8,9.0,11.0,6.0,6.0,5.0,8.0,10.0,7.0,6.0,8.0,9.0,6.0,10.5,10.9,12.4,16.0,17.0,16.4,13.7,11.7,10.2,6.2,5.8,6.0,154.6,249.9,236.9,188.4,255.6,208.4,182.4,137.6,110.8,103.7,144.0,194.8,3.2,3.0,2.2,2.2,1.6,2.3,2.3,1.5,1.7,1.3,2.4,2.0,134.0,0.8,6.7,0.52
35,4000.0,600.0,58.2,91.6,40.0,133.6,42.7,71.9,45.2,0.0,1.0,0.0,0.0,65.6,8.0,11.0,3.0,11.0,8.0,9.0,5.0,0.0,0.0,0.0,0.0,8.0,12.9,14.7,19.3,19.5,21.5,19.6,18.6,14.4,12.8,9.7,10.3,10.6,124.4,144.8,234.6,166.9,243.1,210.6,187.3,109.7,149.0,100.3,93.6,129.3,4.1,4.0,4.0,3.4,4.2,3.1,2.4,2.5,3.3,2.9,3.0,4.3,122.0,0.903373834,4.0,0.42
36,4700.0,600.0,97.4,85.2,164.4,54.8,66.6,34.8,77.8,19.6,56.4,208.8,71.0,60.6,9.0,5.0,12.0,6.0,6.0,2.0,11.0,5.0,9.0,13.0,9.0,10.0,13.4,16.2,17.8,18.9,20.7,22.2,17.8,16.2,12.8,12.5,10.4,11.4,147.7,163.1,137.3,168.8,216.1,228.7,156.6,164.6,137.6,76.8,115.0,118.7,4.9,3.2,3.5,3.9,3.8,3.6,2.7,3.2,2.2,2.7,3.2,3.2,122.0,0.903373834,4.0,0.42
37,2600.0,300.0,150.2,37.0,156.2,86.8,35.6,62.6,0.0,1.4,0.0,65.4,37.6,68.8,10.0,6.0,9.0,9.0,4.0,4.0,0.0,1.0,0.0,10.0,8.0,10.0,11.9,15.0,18.0,21.1,21.0,19.8,18.7,16.9,13.4,12.1,9.7,10.1,143.6,157.0,206.3,166.3,217.3,221.9,134.6,158.0,129.4,73.3,154.8,149.6,3.7,3.3,3.0,3.4,3.7,2.2,2.0,3.1,2.6,2.9,2.8,3.3,122.0,0.903373834,4.0,0.42
38,3600.0,500.0,167.0,0.0,96.4,74.2,24.2,170.6,404.6,112.6,144.6,89.6,96.6,94.8,13.0,0.0,10.0,13.0,8.0,13.0,15.0,6.0,10.0,10.0,16.0,11.0,12.7,13.9,18.2,19.1,19.7,20.3,17.0,15.8,13.3,12.1,11.3,11.8,129.3,154.6,162.6,176.0,263.3,140.8,157.5,189.3,138.3,97.6,102.5,112.2,3.1,3.3,3.5,2.7,2.7,2.2,2.1,2.4,2.9,3.6,3.7,2.9,122.0,0.903373834,4.0,0.42
46,2600.0,400.0,145.6,68.2,98.8,91.2,4.0,211.6,108.4,12.2,118.6,155.8,141.6,143.4,14.0,10.0,14.0,13.0,1.0,11.0,10.0,5.0,13.0,16.0,14.0,12.0,11.1,11.9,16.1,16.8,18.0,18.3,16.3,13.7,11.9,10.1,9.5,10.1,129.3,154.6,162.6,176.0,263.3,140.8,157.5,189.3,138.3,97.6,102.5,112.2,3.1,3.3,3.5,2.7,2.7,2.2,2.1,2.4,2.9,3.6,3.7,2.9,78.50236007,1.22,3.675442264,0.367750191
