,Region,Year,Crop,Tonnes
0,Northland                  ,2019,Wheat Tonnes,0.0
1,Auckland                   ,2019,Wheat Tonnes,0.0
2,Waikato                    ,2019,Wheat Tonnes,0.0
3,Bay of Plenty              ,2019,Wheat Tonnes,0.0
4,Gisborne                   ,2019,Wheat Tonnes,0.0
5,Hawke's Bay                 ,2019,Wheat Tonnes,4000.0
6,Taranaki                   ,2019,Wheat Tonnes,0.0
7,Manawatū-Whanganui,2019,Wheat Tonnes,0.0
8,Wellington                 ,2019,Wheat Tonnes,0.0
9,Tasman                ,2019,Wheat Tonnes,0.0
10,Nelson,2019,Wheat Tonnes,0.0
11,Marlborough             ,2019,Wheat Tonnes,0.0
12,West Coast                 ,2019,Wheat Tonnes,0.0
13,Canterbury                 ,2019,Wheat Tonnes,326300.0
14,Otago                      ,2019,Wheat Tonnes,0.0
15,Southland                  ,2019,Wheat Tonnes,34300.0
16,Chatham Islands,2019,Wheat Tonnes,0.0
17,Northland                  ,2020,Wheat Tonnes,0.0
18,Auckland                   ,2020,Wheat Tonnes,0.0
19,Waikato                    ,2020,Wheat Tonnes,1400.0
20,Bay of Plenty              ,2020,Wheat Tonnes,0.0
21,Gisborne                   ,2020,Wheat Tonnes,100.0
22,Hawke's Bay                 ,2020,Wheat Tonnes,4700.0
23,Taranaki                   ,2020,Wheat Tonnes,0.0
24,Manawatū-Whanganui,2020,Wheat Tonnes,0.0
25,Wellington                 ,2020,Wheat Tonnes,0.0
26,Tasman                ,2020,Wheat Tonnes,0.0
27,Nelson,2020,Wheat Tonnes,0.0
28,Marlborough             ,2020,Wheat Tonnes,100.0
29,West Coast                 ,2020,Wheat Tonnes,0.0
30,Canterbury                 ,2020,Wheat Tonnes,372000.0
31,Otago                      ,2020,Wheat Tonnes,25300.0
32,Southland                  ,2020,Wheat Tonnes,43700.0
33,Chatham Islands,2020,Wheat Tonnes,0.0
34,Northland                  ,2021,Wheat Tonnes,0.0
35,Auckland                   ,2021,Wheat Tonnes,0.0
36,Waikato                    ,2021,Wheat Tonnes,0.0
37,Bay of Plenty              ,2021,Wheat Tonnes,0.0
38,Gisborne                   ,2021,Wheat Tonnes,100.0
39,Hawke's Bay                 ,2021,Wheat Tonnes,2600.0
40,Taranaki                   ,2021,Wheat Tonnes,0.0
41,Manawatū-Whanganui,2021,Wheat Tonnes,0.0
42,Wellington                 ,2021,Wheat Tonnes,0.0
43,Tasman                ,2021,Wheat Tonnes,0.0
44,Nelson,2021,Wheat Tonnes,0.0
45,Marlborough             ,2021,Wheat Tonnes,1100.0
46,West Coast                 ,2021,Wheat Tonnes,0.0
47,Canterbury                 ,2021,Wheat Tonnes,342000.0
48,Otago                      ,2021,Wheat Tonnes,0.0
49,Southland                  ,2021,Wheat Tonnes,34900.0
50,Chatham Islands,2021,Wheat Tonnes,0.0
51,Northland                  ,2022,Wheat Tonnes,0.0
52,Auckland                   ,2022,Wheat Tonnes,0.0
53,Waikato                    ,2022,Wheat Tonnes,0.0
54,Bay of Plenty              ,2022,Wheat Tonnes,0.0
55,Gisborne                   ,2022,Wheat Tonnes,200.0
56,Hawke's Bay                 ,2022,Wheat Tonnes,3600.0
57,Taranaki                   ,2022,Wheat Tonnes,0.0
58,Manawatu-Wanganui,2022,Wheat Tonnes,2600.0
59,Wellington                 ,2022,Wheat Tonnes,1700.0
60,Tasman                ,2022,Wheat Tonnes,0.0
61,Nelson,2022,Wheat Tonnes,0.0
62,Marlborough             ,2022,Wheat Tonnes,200.0
63,West Coast                 ,2022,Wheat Tonnes,200.0
64,Canterbury                 ,2022,Wheat Tonnes,313400.0
65,Otago                      ,2022,Wheat Tonnes,26400.0
66,Southland                  ,2022,Wheat Tonnes,53400.0
67,Chatham Islands,2022,Wheat Tonnes,0.0
68,Northland                  ,2023,Wheat Tonnes,0.0
69,Auckland                   ,2023,Wheat Tonnes,0.0
70,Waikato                    ,2023,Wheat Tonnes,0.0
71,Bay of Plenty              ,2023,Wheat Tonnes,0.0
72,Gisborne                   ,2023,Wheat Tonnes,0.0
73,Hawke's Bay                 ,2023,Wheat Tonnes,0.0
74,Taranaki                   ,2023,Wheat Tonnes,100.0
75,Manawatū-Whanganui,2023,Wheat Tonnes,2800.0
76,Wellington                 ,2023,Wheat Tonnes,0.0
77,Tasman                ,2023,Wheat Tonnes,0.0
78,Nelson,2023,Wheat Tonnes,0.0
79,Marlborough             ,2023,Wheat Tonnes,0.0
80,West Coast                 ,2023,Wheat Tonnes,100.0
81,Canterbury                 ,2023,Wheat Tonnes,308300.0
82,Otago                      ,2023,Wheat Tonnes,0.0
83,Southland                  ,2023,Wheat Tonnes,40400.0
84,Chatham Islands,2023,Wheat Tonnes,0.0
85,Northland                  ,2019,Barley Tonnes,0.0
86,Auckland                   ,2019,Barley Tonnes,600.0
87,Waikato                    ,2019,Barley Tonnes,2000.0
88,Bay of Plenty              ,2019,Barley Tonnes,0.0
89,Gisborne                   ,2019,Barley Tonnes,0.0
90,Hawke's Bay                 ,2019,Barley Tonnes,9000.0
91,Taranaki                   ,2019,Barley Tonnes,800.0
92,Manawatū-Whanganui,2019,Barley Tonnes,0.0
93,Wellington                 ,2019,Barley Tonnes,0.0
94,Tasman                ,2019,Barley Tonnes,0.0
95,Nelson,2019,Barley Tonnes,0.0
96,Marlborough             ,2019,Barley Tonnes,3000.0
