,Region,Wheat Tonnes,Wheat Hectares,Barley Tonnes,Barley Hectares,Maize grain Tonnes,Maize grain Hectares,Year
9,Total North Island,0.0,0.0,0.0,0.0,182600.0,15600.0,2019
18,Total South Island,381800.0,42700.0,338400.0,48300.0,0.0,0.0,2019
29,Total North Island,0.0,0.0,51000.0,7200.0,184300.0,15700.0,2020
38,Total South Island,441100.0,44100.0,286700.0,37900.0,5800.0,400.0,2020
49,Total North Island,0.0,0.0,54900.0,8300.0,205300.0,17100.0,2021
58,Total South Island,405000.0,41500.0,270100.0,35900.0,0.0,0.0,2021
69,Total North Island,9000.0,1300.0,38200.0,8600.0,182000.0,15900.0,2022
78,Total South Island,393600.0,41600.0,291600.0,39600.0,6300.0,500.0,2022
89,Total North Island,11900.0,1700.0,0.0,0.0,179700.0,17900.0,2023
98,Total South Island,379700.0,38800.0,311600.0,41700.0,0.0,0.0,2023
