,Region,Year,Fertilizer Tonnes Applied
0,Auckland,2002,60792.0
1,Auckland,2003,58221.0
2,Auckland,2004,64017.0
3,Auckland,2005,58484.0
4,Auckland,2006,49470.0
5,Auckland,2007,46157.0
6,Auckland,2008,44598.0
7,Auckland,2009,31797.0
8,Auckland,2010,26001.0
9,Auckland,2011,35377.0
10,Auckland,2012,31986.0
11,Auckland,2013,27669.0
12,Auckland,2014,26459.0
13,Auckland,2015,31130.0
14,Auckland,2016,35402.0
15,Auckland,2017,37567.0
16,Auckland,2018,34174.0
17,Auckland,2019,44957.0
18,Auckland,2020,40852.0
19,Auckland,2021,39615.80952380953
20,Auckland,2022,25174.0
21,Auckland,2023,21648.0
22,Bay of Plenty,2002,105294.0
23,Bay of Plenty,2003,110256.0
24,Bay of Plenty,2004,119314.0
25,Bay of Plenty,2005,132356.0
26,Bay of Plenty,2006,102696.0
27,Bay of Plenty,2007,101254.0
28,Bay of Plenty,2008,105510.0
29,Bay of Plenty,2009,84731.0
30,Bay of Plenty,2010,71979.0
31,Bay of Plenty,2011,90690.09523809524
32,Bay of Plenty,2012,83253.0
33,Bay of Plenty,2013,76164.0
34,Bay of Plenty,2014,83564.0
35,Bay of Plenty,2015,84165.0
36,Bay of Plenty,2016,69774.0
37,Bay of Plenty,2017,90390.0
38,Bay of Plenty,2018,75263.0
39,Bay of Plenty,2019,86492.0
40,Bay of Plenty,2020,89546.0
41,Bay of Plenty,2021,73784.0
42,Bay of Plenty,2022,104573.0
43,Bay of Plenty,2023,54134.0
44,Canterbury,2002,324425.0
45,Canterbury,2003,357422.0
46,Canterbury,2004,387131.0
47,Canterbury,2005,409235.0
48,Canterbury,2006,354636.0
49,Canterbury,2007,368887.0
50,Canterbury,2008,390513.0
51,Canterbury,2009,338569.0
52,Canterbury,2010,322097.0
53,Canterbury,2011,357345.0
54,Canterbury,2012,407452.0
55,Canterbury,2013,413916.0
56,Canterbury,2014,431737.0
57,Canterbury,2015,439638.0
58,Canterbury,2016,430569.0
59,Canterbury,2017,422554.0
60,Canterbury,2018,453522.0
61,Canterbury,2019,423757.0
62,Canterbury,2020,420889.0
63,Canterbury,2021,386546.0
