,Region,soil_type,time_step,soil_indicator,trace_element,value,target_min,target_max,meets_target_min,meets_target_max,within_target_range
0,Auckland,Recent,2014 - 2018,AMN,False,133.6062358,50.0,,True,,
1,Auckland,Recent,2014 - 2018,Bulk_density,False,0.976666667,0.7,1.4,True,True,True
2,Auckland,Recent,2014 - 2018,TotalC,False,3.453214449,2.0,,True,,
3,Auckland,Recent,2014 - 2018,TotalN,False,0.325620047,0.25,0.7,True,True,True
4,Auckland,Organic,2014 - 2018,AMN,False,243.6139652,50.0,,True,,
5,Auckland,Organic,2014 - 2018,Bulk_density,False,0.643333333,0.2,1.0,True,True,True
6,Auckland,Organic,2014 - 2018,TotalC,False,13.6969657,,,,,
7,Auckland,Organic,2014 - 2018,TotalN,False,1.11899982,0.25,0.7,True,False,False
8,Auckland,Organic,2014 - 2018,AMN,False,264.7200991,50.0,,True,,
9,Auckland,Organic,2014 - 2018,Bulk_density,False,0.656666667,0.2,1.0,True,True,True
10,Auckland,Organic,2014 - 2018,TotalC,False,12.16954597,,,,,
11,Auckland,Organic,2014 - 2018,TotalN,False,0.910362315,0.25,0.7,True,False,False
12,Auckland,Gley,2014 - 2018,AMN,False,138.5740763,50.0,,True,,
13,Auckland,Gley,2014 - 2018,Bulk_density,False,0.793333333,0.6,1.4,True,True,True
14,Auckland,Gley,2014 - 2018,TotalC,False,5.398899391,2.5,,True,,
15,Auckland,Gley,2014 - 2018,TotalN,False,0.446810731,0.25,0.7,True,True,True
16,Auckland,Gley,2014 - 2018,AMN,False,85.85809073,50.0,,True,,
17,Auckland,Gley,2014 - 2018,Bulk_density,False,0.916666667,0.6,1.4,True,True,True
18,Auckland,Gley,2014 - 2018,TotalC,False,4.68436377,2.5,,True,,
19,Auckland,Gley,2014 - 2018,TotalN,False,0.348034326,0.25,0.7,True,True,True
20,Auckland,Allophanic,2014 - 2018,AMN,False,137.581895,50.0,,True,,
21,Auckland,Allophanic,2014 - 2018,Bulk_density,False,1.12,0.5,1.3,True,True,True
22,Auckland,Allophanic,2014 - 2018,TotalC,False,6.664479623,3.0,,True,,
23,Auckland,Allophanic,2014 - 2018,TotalN,False,0.619312625,0.25,0.7,True,True,True
24,Auckland,Ultic,2014 - 2018,AMN,False,218.4506375,50.0,,True,,
25,Auckland,Ultic,2014 - 2018,Bulk_density,False,0.7,0.6,1.4,True,True,True
26,Auckland,Ultic,2014 - 2018,TotalC,False,8.131164058,2.5,,True,,
27,Auckland,Ultic,2014 - 2018,TotalN,False,0.77454069,0.25,0.7,True,False,False
28,Auckland,Ultic,2014 - 2018,AMN,False,71.49499297,50.0,,True,,
29,Auckland,Ultic,2014 - 2018,Bulk_density,False,0.993333333,0.6,1.4,True,True,True
30,Auckland,Ultic,2014 - 2018,TotalC,False,4.611786669,2.5,,True,,
31,Auckland,Ultic,2014 - 2018,TotalN,False,0.374803215,0.25,0.7,True,True,True
32,Auckland,Ultic,2014 - 2018,AMN,False,343.6806507,50.0,,True,,
33,Auckland,Ultic,2014 - 2018,Bulk_density,False,0.53,0.6,1.4,False,True,False
34,Auckland,Ultic,2014 - 2018,TotalC,False,10.69744472,2.5,,True,,
35,Auckland,Ultic,2014 - 2018,TotalN,False,0.937657399,0.25,0.7,True,False,False
36,Auckland,Ultic,2014 - 2018,AMN,False,361.8873682,50.0,,True,,
37,Auckland,Ultic,2014 - 2018,Bulk_density,False,0.576666667,0.6,1.4,False,True,False
38,Auckland,Ultic,2014 - 2018,TotalC,False,10.33987947,2.5,,True,,
39,Auckland,Ultic,2014 - 2018,TotalN,False,0.928994865,0.25,0.7,True,False,False
40,Auckland,Brown,2014 - 2018,AMN,False,325.9847726,50.0,,True,,
41,Auckland,Brown,2014 - 2018,Bulk_density,False,0.9,0.6,1.4,True,True,True
42,Auckland,Brown,2014 - 2018,TotalC,False,8.432661126,2.5,,True,,
43,Auckland,Brown,2014 - 2018,TotalN,False,0.820324966,0.25,0.7,True,False,False
44,Auckland,Ultic,2014 - 2018,AMN,False,81.0,20.0,,True,,
45,Auckland,Ultic,2014 - 2018,Bulk_density,False,1.1575,0.6,1.4,True,True,True
46,Auckland,Ultic,2014 - 2018,TotalC,False,5.15,2.5,,True,,
47,Auckland,Ultic,2014 - 2018,TotalN,False,0.25,0.1,0.7,True,True,True
