,Region,time_step,AMN_soil_type,Bulk_density_soil_type,TotalC_soil_type,TotalN_soil_type,AMN_trace_element,Bulk_density_trace_element,TotalC_trace_element,TotalN_trace_element,AMN_value,Bulk_density_value,TotalC_value,TotalN_value,AMN_target_min,Bulk_density_target_min,TotalC_target_min,TotalN_target_min,Bulk_density_target_max,TotalN_target_max,AMN_meets_target_min,Bulk_density_meets_target_min,TotalC_meets_target_min,TotalN_meets_target_min,Bulk_density_meets_target_max,TotalN_meets_target_max,AMN_within_target_range,Bulk_density_within_target_range,TotalC_within_target_range,TotalN_within_target_range
0,Auckland,2014 - 2018,Recent,Recent,Recent,Recent,False,False,False,False,133.6062358,0.976666667,3.453214449,0.325620047,50.0,0.7,2.0,0.25,1.4,0.7,True,True,True,True,True,True,False,True,False,True
1,Bay of Plenty,2014 - 2018,Recent,Recent,Recent,Recent,False,False,False,False,156.9392091,0.971666667,4.744961669,0.488482262,50.0,0.7,2.0,0.25,1.4,0.7,True,True,True,True,True,True,,True,False,True
2,Canterbury,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,134.0,0.8,6.7,0.52,50.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,True,False,True,False,True
3,Hawke's Bay,2014 - 2018,Pallic,Pallic,Pallic,Pallic,False,False,False,False,122.0,0.903373834,4.0,0.42,20.0,0.7,2.0,0.1,1.4,0.7,True,True,True,True,True,True,,True,False,True
4,Manawatū-Whanganui,2014 - 2018,Gley,Gley,Gley,Gley,False,False,False,False,78.50236007,1.22,3.675442264,0.367750191,50.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,True,False,True,False,True
5,Marlborough,2014 - 2018,Recent,Recent,Recent,Recent,False,False,False,False,83.83333333333333,1.3076111113333333,3.0166666666666666,0.37,20.0,0.7,2.0,0.25,1.4,0.7,True,True,True,True,True,True,False,True,False,True
6,Southland,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,126.0,0.774840899,6.5,0.24,20.0,0.6,2.5,0.1,1.4,0.7,True,True,True,True,True,True,,True,,True
7,Taranaki,2014 - 2018,Allophanic,Allophanic,Allophanic,Allophanic,False,False,False,False,125.0995865,1.023333333,5.785668617,0.525916787,50.0,0.5,3.0,0.25,1.3,0.7,True,True,True,True,True,True,,True,,True
8,Tasman,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,79.01672188,1.019,3.826450449,0.314002148,50.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,True,,True,False,True
9,Waikato,2014 - 2018,Allophanic,Allophanic,Allophanic,Allophanic,False,False,False,False,390.7407687,0.728666667,10.43460142,1.074549114,50.0,0.5,3.0,0.25,1.3,0.7,True,True,True,True,True,False,,True,,False
10,Wellington,2014 - 2018,Brown,Brown,Brown,Brown,False,False,False,False,150.0,0.76,8.51,0.786934425,20.0,0.6,2.5,0.25,1.4,0.7,True,True,True,True,True,False,False,True,False,False
